year,bill_item_id,summary,dr_label,pdf_filename,pdf_url,pdf_url_embedded,pdf_resolve_status,first_reading,second_reading,presented_by,passed_at,source_tree_node_id,seed_url,ajax_url
1994,0_0,D.R.01/1994 - Academy of Sciences Malaysia Bill 1994 (Passed),D.R.01/1994,DR011994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR011994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_1,D.R.02/1994 - Supplementary Supply (1993 and 1994) Bill 1994 (Passed),D.R.02/1994,DR021994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR021994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_2,D.R.03/1994 - Control Of Padi And Rice Bill 1994 (Passed),D.R.03/1994,DR031994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR031994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_3,D.R.04/1994 - Lembaga Padi Dan Beras Negara (Successor Company) Bill 1994 (Passed),D.R.04/1994,DR041994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR041994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_4,D.R.05/1994 - Merchant Shipping (Amendment) Bill 1994 (Passed),D.R.05/1994,DR051994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR051994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_5,D.R.06/1994 - Lembaga Pembangunan Industri Pembinaan Malaysia Bill 1994 (Passed),D.R.06/1994,DR061994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR061994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_6,D.R.07/1994 - Price Control (Amendment) Bill 1994 (Passed),D.R.07/1994,DR071994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR071994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_7,D.R.08/1994 - Road Transport (Amendment) Bill 1994 (Passed),D.R.08/1994,DR081994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR081994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_8,D.R.09/1994 - Tabung Angkatan Tentera (Amendment) Bill 1994 (Passed),D.R.09/1994,DR091994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR091994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_9,D.R.10/1994 - Elections (Amendment) Bill 1994 (Passed),D.R.10/1994,DR101994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR101994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_10,D.R.11/1994 - Election Offences (Amendment) Bill 1994 (Passed),D.R.11/1994,DR111994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR111994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_11,D.R.12/1994 - Domestic Violence Bill 1994 (Passed),D.R.12/1994,DR121994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR121994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_12,D.R.13/1994 - Married Women (Amendment) Bill 1994 (Passed),D.R.13/1994,DR131994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR131994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_13,D.R.14/1994 - Constitution (Amendment) Bill 1994 (Passed),D.R.14/1994,DR141994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR141994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_14,D.R.16/1994 - Subordinate Courts (Amendment) Bill 1994 (Passed),D.R.16/1994,DR161994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR161994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
1994,0_15,D.R.17/1994 - Subordinate Courts Rules (Amendment) Bill 1994 (Passed),D.R.17/1994,DR171994E.pdf,https://www.parlimen.gov.my/files/billindex/pdf/1994/DR171994E.pdf,,,,,,,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
